Symbol	Date	Close	Open	High	Low	Vol
BTC_USD	2019-04-09	5,195.2	5,245.0	5,245.9	5,181.4	844779
BTC_USD	2019-04-08	5,245.2	5,173.5	5,300.6	5,060.5	928225
BTC_USD	2019-04-07	5,173.6	5,046.1	5,219.5	5,033.7	841270
BTC_USD	2019-04-06	5,046.2	5,010.0	5,198.4	4,947.9	952175
BTC_USD	2019-04-05	5,010.2	4,902.5	5,029.4	4,888.3	851723
BTC_USD	2019-04-04	4,902.4	4,968.7	5,042.5	4,789.2	1047072
BTC_USD	2019-04-03	4,968.7	4,859.3	5,278.4	4,814.0	13830584
BTC_USD	2019-04-02	4,859.3	4,145.1	4,899.6	4,143.5	14765529
BTC_USD	2019-04-01	4,145.1	4,102.3	4,159.1	4,076.8	3216261
BTC_USD	2019-03-31	4,102.3	4,111.8	4,121.9	4,082.2	2434002
BTC_USD	2019-03-30	4,111.8	4,103.7	4,138.1	4,057.1	2551251
BTC_USD	2019-03-29	4,102.2	4,025.7	4,123.1	4,022.6	3297922
BTC_USD	2019-03-28	4,025.6	4,041.7	4,041.7	4,008.4	2110507
BTC_USD	2019-03-27	4,041.7	3,942.8	4,043.3	3,936.2	2776037
BTC_USD	2019-03-26	3,942.8	3,937.1	3,950.7	3,899.9	2534739
BTC_USD	2019-03-25	3,937.0	3,994.8	4,000.5	3,897.9	2861444
BTC_USD	2019-03-24	3,994.7	4,002.6	4,005.7	3,967.0	2039106
BTC_USD	2019-03-23	4,002.5	3,990.4	4,018.2	3,980.8	2000048
BTC_USD	2019-03-22	3,990.4	3,982.2	4,005.7	3,971.8	2828879
BTC_USD	2019-03-21	3,982.2	4,041.2	4,064.0	3,923.8	3876347
BTC_USD	2019-03-20	4,041.2	4,017.0	4,050.0	3,985.3	3181127
BTC_USD	2019-03-19	4,017.0	3,990.2	4,029.9	3,972.4	2994831
BTC_USD	2019-03-18	3,990.2	3,981.5	4,032.3	3,958.5	2624298
BTC_USD	2019-03-17	3,981.5	4,006.4	4,009.8	3,956.3	1870452
BTC_USD	2019-03-16	4,006.4	3,924.4	4,050.6	3,923.7	3464950
BTC_USD	2019-03-15	3,924.3	3,879.0	3,935.7	3,874.8	3112943
BTC_USD	2019-03-14	3,879.0	3,865.1	3,914.7	3,828.4	2864659
BTC_USD	2019-03-13	3,865.1	3,885.9	3,894.7	3,847.4	2282663
BTC_USD	2019-03-12	3,886.0	3,870.3	3,900.1	3,817.1	2901201
BTC_USD	2019-03-11	3,870.3	3,915.2	3,935.5	3,842.4	3193337
BTC_USD	2019-03-10	3,915.2	3,944.4	3,944.5	3,889.2	1891584
BTC_USD	2019-03-09	3,944.3	3,865.6	3,964.0	3,859.7	2482123
BTC_USD	2019-03-08	3,865.9	3,875.1	3,929.0	3,810.7	2960962
BTC_USD	2019-03-07	3,875.1	3,863.1	3,907.4	3,847.9	2601296
BTC_USD	2019-03-06	3,863.0	3,857.2	3,887.3	3,816.7	2515486
BTC_USD	2019-03-05	3,857.2	3,715.9	3,873.2	3,705.7	3820004
BTC_USD	2019-03-04	3,715.9	3,809.7	3,828.4	3,681.8	2845964
BTC_USD	2019-03-03	3,809.5	3,823.2	3,836.6	3,789.7	1505658
BTC_USD	2019-03-02	3,823.1	3,821.9	3,843.2	3,783.6	1609439
BTC_USD	2019-03-01	3,821.9	3,816.7	3,855.8	3,816.4	1736604
BTC_USD	2019-02-28	3,816.6	3,814.6	3,883.7	3,783.3	2305291
BTC_USD	2019-02-27	3,814.6	3,810.3	3,836.4	3,701.9	2816770
BTC_USD	2019-02-26	3,810.3	3,833.5	3,845.5	3,775.0	2093927
BTC_USD	2019-02-25	3,833.7	3,755.7	3,870.7	3,753.8	765872
BTC_USD	2019-02-24	3,755.2	4,120.5	4,194.2	3,738.7	977776
BTC_USD	2019-02-23	4,120.4	3,965.2	4,152.6	3,939.4	727854
